,Display Caption,Financial Row,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bank,1000 - x8141-Webster-ECX Inc,7000000,7700000,8085000,8731800,8557164,8813878.92,9430850.4444,9525158.948843999,9239404.18037868,9886162.473005187,10281608.971925395,11104137.689679425,11548303.197266603,11432820.165293938,11318491.963640999,10526197.52618613,11052507.402495436,11826182.920670116,12417492.066703621,13038366.670038803,12125681.003136087,11640653.763010643,11407840.68775043,10951527.060240414,10732496.519035606,10517846.588654894,10412668.122768346,11245681.572589815,10570940.678234426,10570940.678234426,10570940.678234426,10993778.305363804,10114276.0409347,10822275.363800129,11471611.885628136,12045192.479909543,11924740.555110447,12640224.988417074,12640224.988417074,12893029.488185415,13279820.372830978,14342206.002657456,15346160.422843479,15960006.839757217,17396407.455335367,17048479.30622866,17389448.892353233,17215554.403429702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bank,1000.03 - x2948-Webster ECX Inc Petty Cash,170,187,196.35,212.058,207.81683999999998,214.0513452,229.034939364,231.32528875764,224.38553009491082,240.09251720155459,249.69621788961678,269.6719153207861,280.4587919336176,277.6542040142814,274.87766197413856,255.63622563594885,268.4180369177463,287.20729950198853,301.56766447708793,316.64604770094235,294.4808243618764,282.7015913874013,277.0475595596533,265.96565717726713,260.6463440337218,255.43341715304734,252.87908298151686,273.1094096200382,256.7228450428359,256.7228450428359,256.7228450428359,266.99175884454934,245.6324181369854,262.82668740657437,278.5962886509688,292.5261030835172,289.6008420526821,306.976892575843,306.976892575843,313.1164304273599,322.5099233401807,348.31071720739516,372.69246741191284,387.6001661083894,422.48418105814443,414.03449743698155,422.3151873857212,418.09203551186397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bank,1001 - x8161-Webster EDCNA,2971624.88,3268787.368,3432226.7364,3706804.8753119996,3632668.7778057596,3741648.841139932,4003564.2600197275,4043599.902619925,3922291.9055413273,4196852.33892922,4364726.432486389,4713904.5470853,4902460.7289687125,4853436.121679026,4804901.760462236,4468558.637229879,4691986.569091373,5020425.628927769,5271446.910374157,5535019.255892865,5147567.907980365,4941665.19166115,4842831.887827927,4649118.61231481,4556136.240068514,4465013.515267144,4420363.3801144725,4773992.45052363,4487552.903492212,4487552.903492212,4487552.903492212,4667055.019631901,4293690.618061349,4594248.961325644,4869903.899005182,5113399.093955441,5062265.103015887,5366001.00919684,5366001.00919684,5473321.029380777,5637520.6602622,6088522.313083176,6514718.874998998,6775307.629998958,7385085.316698864,7237383.610364887,7382131.282572185,7308309.969746463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bank,1001.01 - x2952-PacWest EDCNA,4124739.9,4537213.89,4764074.5845,5145200.55126,5042296.5402348,5193565.436441844,5557115.016992774,5612686.1671627015,5444305.582147821,5825406.9728981685,6058423.251814095,6543097.111959223,6804820.9964375915,6736772.786473216,6669405.0586084835,6202546.70450589,6512674.039731184,6968561.222512367,7316989.283637986,7682838.747819885,7145040.035472493,6859238.434053593,6722053.665372522,6453171.518757621,6324108.088382469,6197625.926614819,6135649.667348671,6626501.640736564,6228911.54229237,6228911.54229237,6228911.54229237,6478068.003984066,5959822.563665341,6377010.143121915,6759630.75170923,7097612.289294692,7026636.166401745,7448234.33638585,7448234.33638585,7597199.023113566,7825114.993806973,8451124.193311531,9042702.886843339,9404411.002317073,10250807.99252561,10045791.832675098,10246707.6693286,10144240.592635315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bank,1001.02 - x2393: PacWest EDCNA Utilities Acct,600270.75,660297.825,693312.7162499999,748777.7335499999,733802.1788789999,755816.2442453699,808723.3813425459,816810.6151559713,792306.2967012922,847767.7374703826,881678.446969198,952212.7227267338,990301.2316358031,980398.2193194451,970594.2371262506,902652.6405274131,947785.2725537837,1014130.2416325486,1064836.7537141761,1118078.591399885,1039813.090001893,998220.5664018173,978256.1550737809,939125.9088708297,920343.3906934131,901936.5228795449,892917.1576507494,964350.5302628094,906489.4984470408,906489.4984470408,906489.4984470408,942749.0783849225,867329.1521141287,928042.1927621177,983724.7243278448,1032910.960544237,1022581.8509387947,1083936.7619951223,1083936.7619951223,1105615.4972350248,1138783.9621520755,1229886.6791242415,1315978.7466629383,1368617.896529456,1491793.5072171069,1461957.6370727648,1491196.78981422,1476284.8219160778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bank,1001.04 - x4980 -Pacwest EDCNA Accounts Receivable,264738.65,291212.515,305773.14075,330234.99201000005,323630.2921698,333339.20093489403,356672.9450003366,360239.67445034,349432.48421682976,373892.75811200787,388848.4684364882,419956.34591140726,436754.59974786354,432387.0537503849,428063.18321288103,398098.76038797933,418003.6984073783,447263.95729589474,469627.1551606895,493108.512918724,458590.9170144133,440247.28033383674,431442.33472716,414184.6413380736,405900.94851131213,397782.9295410859,393805.1002456751,425309.50826532906,399790.9377694093,399790.9377694093,399790.9377694093,415782.5752801857,382519.9692577708,409296.36710581474,433854.1491321636,455546.8565887718,450991.3880228841,478050.87130425713,478050.87130425713,487611.88873034227,502240.2453922525,542419.4650236327,580388.8275752871,603604.3806782985,657928.7749393454,644770.1994405586,657665.6034293697,651088.947395076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bank,1002 - x7393-Webster 2021 Lunt (CHI02),110316.65,121348.315,127415.73075,137608.98921,134856.8094258,138902.513708574,148625.6896681742,150111.94656485593,145608.58816791026,155801.18933966398,162033.23691325053,174995.89586631057,181995.731700963,180175.77438395337,178374.01664011384,165887.83547530588,174182.22724907118,186374.98315650615,195693.73231433146,205478.41893004804,191094.92960494466,183451.13242074687,179782.10977233193,172590.82538143866,169139.0088738099,165756.22869633368,164098.66640937034,177226.55972211997,166592.96613879278,166592.96613879278,166592.96613879278,173256.68478434448,159396.15000159692,170553.8805017087,180787.11333181124,189826.4689984018,187928.2043084178,199203.89656692286,199203.89656692286,203187.97449826132,209283.61373320915,226026.30283186588,241848.14403009648,251522.06979130034,274159.05607251736,268675.87495106703,274049.39245008834,271308.89852558746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bank,1003 - x2885-ING Holdings BV,11948.418832,13143.2607152,13800.42375096,14904.4576510368,14606.368498016065,15044.559552956547,16097.678721663506,16258.655508880141,15770.895843613736,16874.858552666698,17549.852894773365,18953.841126355233,19711.99477140944,19514.874823695347,19319.726075458395,17967.345250176306,18865.71251268512,20186.31238857308,21195.62800800173,22255.409408401818,20697.53074981369,19869.62951982114,19472.23692942472,18693.34745224773,18319.480503202776,17953.09089313872,17773.55998420733,19195.44478294392,18043.718095967284,18043.718095967284,18043.718095967284,18765.466819805977,17264.229474221498,18472.725537417,19581.089069662023,20560.143523145125,20354.542087913673,21575.814613188493,21575.814613188493,22007.33090545226,22667.55083261583,24480.954899225097,26194.621742170853,27242.40661185769,29694.22320692488,29100.33874278638,29682.34551764211,29385.522062465687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bank,1004 - x2901-ING Netherlands BV,4741362.644061,5215498.9084671,5476273.853890455,5914375.762201692,5796088.246957658,5969970.894366387,6387868.856972034,6451747.545541754,6258195.119175501,6696268.777517786,6964119.528618498,7521249.090907978,7822099.054544297,7743878.063998854,7666439.283358865,7129788.533523745,7486277.960199933,8010317.417413928,8410833.288284624,8831374.952698855,8213178.706009935,7884651.557769537,7726958.526614146,7417880.1855495805,7269522.581838589,7124132.1302018175,7052890.808899799,7617122.073611783,7160094.749195076,7160094.749195076,7160094.749195076,7446498.539162879,6850778.656029848,7330333.161951938,7770153.151669054,8158660.809252507,8077074.201159982,8561698.653229581,8561698.653229581,8732932.626294173,8994920.605082998,9714514.253489638,10394530.251233913,10810311.46128327,11783239.492798764,11547574.702942789,11778526.197001643,11660740.935031626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bank,1005 - x8212-ING Europe BV,184395446.288804,202834990.9176844,212976740.46356863,230014879.70065412,225414582.10664102,232177019.56984025,248429410.93972906,250913705.04912636,243386293.89765257,260423334.47048825,270840267.8493078,292507489.2772524,304207788.8483425,301165710.9598591,298154053.8502605,277283270.08074224,291147433.5847794,311527753.93571395,327104141.63249964,343459348.7141246,319417194.3041359,306640506.5319705,300507696.40133107,288487388.54527783,282717640.7743723,277063287.95888484,274292655.079296,296236067.4856397,278461903.4365013,278461903.4365013,278461903.4365013,289600379.5739614,266432349.20804447,285082613.65260756,302187570.471764,317296948.9953522,314123979.5053987,332971418.2757226,332971418.2757226,339630846.6412371,349819772.0404742,377805353.8037121,404251728.569972,420421797.7127709,458259759.5069203,449094564.3167819,458076455.6031175,453495691.04708636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
