,Display caption,Financial Row,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00
1,Revenue,4000 - MRR: Base Rent,23152324.6247937,23383847.8710417,22214655.4774896,22436802.0322645,23783010.1542004,25685650.9665364,25428794.456871,24920218.5677336,23175803.2679923,21321739.0065529,19402782.4959631,18238615.5462053,19697704.7899018,18909796.5983057,20044384.394204,21647935.1457403,22513852.55157,23639545.1791485,22930358.823774,23159662.4120117,22464872.5396514,22689521.2650479,24050892.5409508,25974963.9442268,23637217.1892464,25291822.3924937,27062249.9599682,26250382.4611692,25462870.9873341,24189727.4379674,23464035.6148284,21821553.1217904,22912630.7778799,24745641.2401103,24498184.8277092,23763239.2828779,25189033.6398506,24937143.3034521,24438400.4373831,26637856.4767475,26637856.4767475,25305963.6529102,23787605.8337355,22598225.5420488,22824207.7974693,23508934.0313933,25624738.0942187,24343501.1895078
2,Revenue,4005 - MRR: Real Estate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Revenue,4005 - MRR: Real Estate,140213.630452538,141615.766757063,134534.97841921,135880.328203402,144033.147895606,155555.799727255,154000.241729982,150920.236895383,140355.820312706,129127.354687689,117505.892765797,110455.539199849,119291.982335837,114520.303042404,121391.521224948,131102.842922944,136346.956639862,143164.304471855,138869.375337699,140258.069091076,136050.327018344,137410.830288527,145655.480105839,157307.918514306,143150.205848018,153170.72025738,163892.670675396,158975.890555134,154206.61383848,146496.283146556,142101.39465216,132154.297026509,138762.011877834,149862.972828061,148364.34309978,143913.412806787,152548.217575194,151022.735399442,148002.280691453,161322.485953684,161322.485953684,153256.361656,144060.97995664,136857.930958808,138226.510268396,142373.305576448,155186.903078328,147427.557924411
4,Revenue,4010 - MRR: Meet Me Room,177040.296904541,178810.699873586,169870.164879907,171568.866528706,181862.998520428,196412.038402062,194447.918018042,190558.959657681,177219.832481643,163042.245883112,148368.443753632,139466.337128414,150623.644098687,144598.698334739,153274.620234824,165536.58985361,172158.053447754,180765.956120142,175342.977436538,177096.407210903,171783.514994576,173501.350144522,183911.431153193,198624.345645448,180748.154537358,193400.525354973,206938.562129821,200730.405265927,194708.493107949,184973.068452551,179423.876398975,166864.205051047,175207.415303599,189224.008527887,187331.768442608,181711.81538933,192614.524312689,190688.379069563,186874.611488171,203693.326522107,203693.326522107,193508.660196001,181898.140584241,172803.233555029,174531.26589058,179767.203867297,195946.252215354,186148.939604586
5,Revenue,4015 - MRR: Custom Space,130898.38804432,132207.371924763,125597.003328525,126852.97336181,134464.151763519,145221.2839046,143769.071065554,140893.689644243,131031.131369146,120548.640859614,109699.263182249,103117.307391314,111366.691982619,106912.024303314,113326.745761513,122392.885422434,127288.600839332,133653.030881298,129643.439954859,130939.874354408,127011.678123776,128281.794905014,135978.702599314,146856.99880726,133639.868914606,142994.659738629,153004.285920333,148414.157342723,143961.732622441,136763.645991319,132660.736611579,123374.485048769,129543.209301207,139906.666045304,138507.599384851,134352.371403305,142413.513687504,140989.378550628,138169.590979616,150604.854167781,150604.854167781,143074.611459392,134490.134771829,127765.628033237,129043.28431357,132914.582842977,144876.895298845,137633.050533902
6,Revenue,4020 - MRR: Cabinet Package,953072.801084923,962603.529095772,914473.352640983,923618.086167393,979035.171337437,1057357.98504443,1046784.40519399,1025848.71709011,954039.3068938,877716.162342296,798721.707731489,750798.4052676,810862.277689008,778427.786581448,825133.453776334,891144.130078441,926789.895281579,973129.390045658,943935.508344288,953374.863427731,924773.617524899,934021.353700148,990062.634922157,1069267.64571593,973033.557601496,1041145.9066336,1114026.12009795,1080605.33649501,1048187.17640016,995777.817580155,965904.483052751,898291.169239058,943205.727701011,1018662.18591709,1008475.56405792,978221.297136184,1036914.57496435,1026545.42921471,1006014.52063042,1096555.82748715,1096555.82748715,1041728.0361128,979224.353946029,930263.136248727,939565.767611215,967752.740639551,1054850.48729711,1002107.96293226
7,Revenue,4025 - MRR: Space & Power Reservation,-6293.92888107436,-6356.86816988511,-6039.02476139085,-6099.41500900476,-6465.37990954504,-6982.61030230865,-6912.78419928556,-6774.52851529985,-6300.31151922886,-5796.28659769055,-5274.6208038984,-4958.1435556645,-5354.79504011766,-5140.60323851295,-5449.03943282373,-5884.96258744962,-6120.36109094761,-6426.37914549499,-6233.58777113014,-6295.92364884144,-6107.0459393762,-6168.11639876996,-6538.20338269616,-7061.25965331185,-6425.74628451378,-6875.54852442975,-7356.83692113983,-7136.13181350564,-6922.04785910047,-6575.94546614544,-6378.66710216108,-5932.1604050098,-6228.76842526029,-6727.06989928112,-6659.79920028831,-6460.00522427966,-6847.60553773644,-6779.12948235907,-6643.54689271189,-7241.46611305596,-7241.46611305596,-6879.39280740316,-6466.62923895897,-6143.29777701102,-6204.73075478114,-6390.87267742457,-6966.05121839278,-6617.74865747314
8,Revenue,4030 - MRR: Bandwidth,32852.4431295987,33180.9675608947,31521.91918285,31837.1383746785,33747.3666771592,36447.1560113319,36082.6844512186,35361.0307621942,32885.7586088406,30254.8979201334,27531.9571073214,25880.0396808821,27950.4428553527,26832.4251411386,28442.3706496069,30717.7603015754,31946.4707136384,33543.7942493204,32537.4804218408,32862.8552260592,31876.9695692774,32195.7392649702,34127.4836208684,36857.6823105378,33540.4909025894,35888.3252657707,38400.5080343746,37248.4927933434,36131.0380095431,34324.4861090659,33294.751525794,30964.1189189884,32512.3248649378,35113.3108541328,34762.1777455915,33719.3124132238,35742.4711580172,35385.046446437,34677.3455175083,37798.306614084,37798.306614084,35908.3912833798,33753.887806377,32066.1934160582,32386.8553502188,33358.4610107253,36360.7225016906,34542.6863766061
9,Revenue,4035 - MRR: Cross Connects,186501.449088379,188366.463579263,178948.1404003,180737.621804303,191581.879112561,206908.429441566,204839.34514715,200742.558244207,186690.579167113,171755.332833744,156297.352878707,146919.511705984,158673.072642463,152326.149736764,161465.71872097,174382.976218648,181358.295267394,190426.210030764,184713.423729841,186560.557967139,180963.741228125,182773.378640406,193739.78135883,209238.963867537,190407.457119459,203735.979117821,217997.497656068,211457.572726386,205113.845544594,194858.153267365,189012.408669344,175781.54006249,184570.617065614,199336.266430863,197342.903766555,191422.616653558,202907.973652772,200878.893916244,196861.316037919,214578.834481332,214578.834481332,203849.892757265,191618.899191829,182037.954232238,183858.33377456,189374.083787797,206417.751328699,196096.863762264
10,Revenue,4040 - MRR: Remote Hands,6906.75,6975.8175,6627.026625,6693.29689125,7094.894704725,7662.486281103,7585.86141829197,7434.14418992613,6913.7540966313,6360.6537689008,5788.19492969973,5440.90323391774,5876.17549263116,5641.12847292592,5979.59618130147,6457.96387580559,6716.28243083781,7052.0965523797,6840.53365580831,6908.93899236639,6701.6708225954,6768.68753082136,7174.80878267064,7748.79348528429,7051.4020716087,7545.00021662131,8073.1502317848,7830.95572483126,7596.02705308632,7216.22570043201,6999.73892941905,6509.75720435971,6835.2450645777,7382.06466974392,7308.24402304648,7088.99670235508,7514.33650449639,7439.19313945142,7290.40927666239,7946.54611156201,7946.54611156201,7549.21880598391,7096.26567762488,6741.45239374363,6808.86691768107,7013.1329252115,7644.31488848054,7262.09914405651
